household_type,income_group,year,means_tested_transfers,medicaid,snap,ssi,other_transfers
all_households,lowest_quintile,1982,37.6,11.1,7.4,5.5,13.6
all_households,lowest_quintile,1983,41.3,12.5,8.3,5.6,14.9
all_households,lowest_quintile,1984,36.1,11.2,6.6,5.2,13.2
all_households,lowest_quintile,1985,38.3,12.2,6.6,5.4,14.1
all_households,lowest_quintile,1986,39.3,12.9,6.6,5.5,14.3
all_households,lowest_quintile,1987,43.4,14.8,6.9,6.3,15.4
all_households,lowest_quintile,1988,41.8,14.6,6.7,6.3,14.2
all_households,lowest_quintile,1989,41.3,15.6,6.6,5.7,13.3
all_households,lowest_quintile,1990,43.7,17.1,7.1,5.6,13.9
all_households,lowest_quintile,1991,47.8,19.5,8.2,6.2,14.0
all_households,lowest_quintile,1992,51.6,22.0,8.9,7.2,13.5
all_households,lowest_quintile,1993,55.6,23.7,9.0,7.9,14.9
all_households,lowest_quintile,1994,54.8,23.4,9.0,8.3,14.0
all_households,lowest_quintile,1995,48.5,21.5,7.7,7.8,11.4
all_households,lowest_quintile,1996,48.3,21.9,7.4,8.3,10.7
all_households,lowest_quintile,1997,42.1,20.6,5.7,7.4,8.5
all_households,lowest_quintile,1998,40.5,21.4,4.7,7.0,7.4
all_households,lowest_quintile,1999,38.4,21.5,4.1,6.4,6.3
all_households,lowest_quintile,2000,39.1,23.4,3.7,6.4,5.6
all_households,lowest_quintile,2001,43.0,26.4,4.1,6.8,5.8
all_households,lowest_quintile,2002,46.0,29.0,4.5,6.7,5.8
all_households,lowest_quintile,2003,49.1,31.2,5.2,6.7,5.9
all_households,lowest_quintile,2004,48.9,31.8,5.6,6.3,5.2
all_households,lowest_quintile,2005,48.1,30.6,6.0,6.2,5.3
all_households,lowest_quintile,2006,45.2,27.7,5.7,6.0,5.6
all_households,lowest_quintile,2007,41.4,25.5,5.2,5.6,5.0
all_households,lowest_quintile,2008,44.3,27.2,6.1,5.7,5.4
all_households,lowest_quintile,2009,53.9,31.7,9.3,6.7,6.1
all_households,lowest_quintile,2010,54.3,31.6,10.0,6.7,6.0
all_households,lowest_quintile,2011,54.0,30.3,10.8,6.5,6.3
all_households,lowest_quintile,2012,57.6,32.8,11.6,7.1,6.1
all_households,lowest_quintile,2013,56.8,33.0,10.7,7.4,5.8
all_households,lowest_quintile,2014,64.3,41.0,9.7,7.0,6.6
all_households,second_quintile,1979,2.5,0.8,0.4,0.4,0.9
all_households,second_quintile,1980,2.8,0.9,0.5,0.4,1.0
all_households,second_quintile,1981,3.0,1.0,0.6,0.4,1.0
all_households,second_quintile,1982,2.8,1.0,0.5,0.4,0.9
all_households,second_quintile,1983,2.8,1.0,0.5,0.4,0.9
all_households,second_quintile,1984,2.7,0.9,0.4,0.4,0.9
all_households,second_quintile,1985,2.7,0.9,0.4,0.5,0.9
all_households,second_quintile,1986,2.9,1.1,0.3,0.6,0.9
all_households,second_quintile,1987,2.8,1.1,0.3,0.5,0.9
all_households,second_quintile,1988,2.8,1.2,0.3,0.5,0.8
all_households,second_quintile,1989,3.0,1.3,0.3,0.6,0.8
all_households,second_quintile,1990,3.5,1.6,0.4,0.7,0.8
all_households,second_quintile,1991,4.2,2.0,0.5,0.8,0.9
all_households,second_quintile,1992,5.4,2.7,0.8,0.9,1.0
all_households,second_quintile,1993,5.7,2.8,0.8,1.0,1.1
all_households,second_quintile,1994,5.8,3.1,0.7,1.0,1.1
all_households,second_quintile,1995,5.9,3.3,0.7,1.0,1.0
all_households,second_quintile,1996,5.7,3.1,0.7,0.9,1.0
all_households,second_quintile,1997,5.5,3.2,0.6,0.9,0.8
all_households,second_quintile,1998,5.9,3.8,0.4,0.9,0.8
all_households,second_quintile,1999,5.9,4.1,0.4,0.8,0.6
all_households,second_quintile,2000,6.3,4.4,0.4,0.9,0.7
all_households,second_quintile,2001,7.0,5.1,0.4,0.8,0.7
all_households,second_quintile,2002,8.0,6.0,0.5,0.9,0.7
all_households,second_quintile,2003,8.7,6.5,0.6,1.0,0.7
all_households,second_quintile,2004,9.3,7.1,0.7,0.9,0.6
all_households,second_quintile,2005,9.0,6.8,0.7,0.9,0.6
all_households,second_quintile,2006,9.0,6.5,0.6,0.9,1.1
all_households,second_quintile,2007,8.7,6.2,0.6,0.9,1.0
all_households,second_quintile,2008,10.0,7.2,0.8,0.9,1.1
all_households,second_quintile,2009,12.0,8.2,1.3,1.1,1.4
all_households,second_quintile,2010,12.3,8.3,1.6,1.1,1.4
all_households,second_quintile,2011,13.0,8.5,1.9,1.1,1.5
all_households,second_quintile,2012,13.1,8.7,1.8,1.1,1.5
all_households,second_quintile,2013,12.9,8.5,1.8,1.0,1.5
all_households,second_quintile,2014,14.7,10.4,1.6,1.1,1.6
all_households,middle_quintile,1979,0.8,0.3,0.1,0.1,0.3
all_households,middle_quintile,1980,0.8,0.3,0.1,0.1,0.3
all_households,middle_quintile,1981,0.8,0.3,0.1,0.1,0.3
all_households,middle_quintile,1982,0.7,0.2,0.1,0.1,0.2
all_households,middle_quintile,1983,0.7,0.3,0.1,0.2,0.2
all_households,middle_quintile,1984,0.7,0.2,0.1,0.2,0.2
all_households,middle_quintile,1985,0.7,0.3,0.1,0.2,0.2
all_households,middle_quintile,1986,0.7,0.3,,0.2,0.2
all_households,middle_quintile,1987,0.7,0.3,,0.2,0.2
all_households,middle_quintile,1988,0.7,0.3,0.1,0.2,0.2
all_households,middle_quintile,1989,0.8,0.4,,0.2,0.2
all_households,middle_quintile,1990,0.9,0.4,0.1,0.2,0.2
all_households,middle_quintile,1991,1.1,0.5,0.1,0.2,0.2
all_households,middle_quintile,1992,1.2,0.6,0.1,0.3,0.2
all_households,middle_quintile,1993,1.5,0.8,0.1,0.3,0.3
all_households,middle_quintile,1994,1.4,0.8,0.1,0.2,0.3
all_households,middle_quintile,1995,1.6,0.9,0.1,0.3,0.3
all_households,middle_quintile,1996,1.6,1.0,0.1,0.3,0.2
all_households,middle_quintile,1997,1.4,0.9,0.1,0.2,0.2
all_households,middle_quintile,1998,1.5,1.0,0.1,0.2,0.1
all_households,middle_quintile,1999,1.6,1.2,0.1,0.3,0.1
all_households,middle_quintile,2000,1.7,1.3,0.1,0.2,0.2
all_households,middle_quintile,2001,1.9,1.5,0.1,0.2,0.2
all_households,middle_quintile,2002,2.2,1.7,0.1,0.3,0.2
all_households,middle_quintile,2003,2.5,2.0,0.1,0.2,0.2
all_households,middle_quintile,2004,2.7,2.1,0.1,0.3,0.1
all_households,middle_quintile,2005,2.7,2.2,0.1,0.3,0.1
all_households,middle_quintile,2006,2.5,1.9,0.1,0.3,0.2
all_households,middle_quintile,2007,2.7,2.1,0.1,0.3,0.3
all_households,middle_quintile,2008,3.0,2.3,0.1,0.3,0.3
all_households,middle_quintile,2009,3.5,2.6,0.2,0.3,0.3
all_households,middle_quintile,2010,3.6,2.7,0.3,0.3,0.4
all_households,middle_quintile,2011,3.7,2.7,0.3,0.3,0.4
all_households,middle_quintile,2012,3.8,2.7,0.3,0.4,0.4
all_households,middle_quintile,2013,3.7,2.7,0.3,0.3,0.4
all_households,middle_quintile,2014,4.7,3.7,0.3,0.3,0.4
all_households,fourth_quintile,1979,0.3,0.1,,0.1,0.1
all_households,fourth_quintile,1980,0.3,0.1,,0.1,0.1
all_households,fourth_quintile,1981,0.3,0.1,,0.1,0.1
all_households,fourth_quintile,1982,0.3,0.1,,0.1,0.1
all_households,fourth_quintile,1983,0.3,0.1,,0.1,0.1
all_households,fourth_quintile,1984,0.3,0.1,,0.1,0.1
all_households,fourth_quintile,1985,0.2,0.1,,0.1,0.1
all_households,fourth_quintile,1986,0.3,0.1,,0.1,0.1
all_households,fourth_quintile,1987,0.3,0.1,,0.1,0.1
all_households,fourth_quintile,1988,0.3,0.1,,0.1,0.1
all_households,fourth_quintile,1989,0.3,0.1,,0.1,0.1
all_households,fourth_quintile,1990,0.3,0.2,,0.1,0.1
all_households,fourth_quintile,1991,0.4,0.2,,0.1,0.1
all_households,fourth_quintile,1992,0.5,0.3,,0.1,0.1
all_households,fourth_quintile,1993,0.5,0.3,,0.1,0.1
all_households,fourth_quintile,1994,0.6,0.4,,0.1,0.1
all_households,fourth_quintile,1995,0.6,0.4,,0.1,0.1
all_households,fourth_quintile,1996,0.6,0.4,,0.1,0.1
all_households,fourth_quintile,1997,0.6,0.4,,0.1,0.1
all_households,fourth_quintile,1998,0.6,0.5,,0.1,
all_households,fourth_quintile,1999,0.6,0.5,,0.1,
all_households,fourth_quintile,2000,0.7,0.5,,0.1,0.1
all_households,fourth_quintile,2001,0.7,0.6,,0.1,
all_households,fourth_quintile,2002,0.9,0.7,,0.1,0.1
all_households,fourth_quintile,2003,1.0,0.8,,0.1,
all_households,fourth_quintile,2004,1.0,0.9,,0.1,
all_households,fourth_quintile,2005,1.0,0.8,,0.1,
all_households,fourth_quintile,2006,1.0,0.8,,0.1,0.1
all_households,fourth_quintile,2007,1.1,0.8,,0.1,0.1
all_households,fourth_quintile,2008,1.1,0.9,,0.1,0.1
all_households,fourth_quintile,2009,1.3,1.0,,0.1,0.1
all_households,fourth_quintile,2010,1.3,1.0,0.1,0.1,0.1
all_households,fourth_quintile,2011,1.3,1.0,0.1,0.1,0.1
all_households,fourth_quintile,2012,1.2,0.9,0.1,0.1,0.1
all_households,fourth_quintile,2013,1.3,1.0,0.1,0.1,0.1
all_households,fourth_quintile,2014,1.7,1.4,0.1,0.1,0.1
all_households,highest_quintile,1979,0.1,,,,
all_households,highest_quintile,1980,0.1,,,,
all_households,highest_quintile,1981,0.1,,,,
all_households,highest_quintile,1982,0.1,,,,
all_households,highest_quintile,1983,0.1,,,,
all_households,highest_quintile,1984,0.1,,,,
all_households,highest_quintile,1985,0.1,,,,
all_households,highest_quintile,1986,0.1,,,,
all_households,highest_quintile,1987,0.1,,,,
all_households,highest_quintile,1988,0.1,,,,
all_households,highest_quintile,1989,0.1,,,,
all_households,highest_quintile,1990,0.1,,,,
all_households,highest_quintile,1991,0.1,0.1,,,
all_households,highest_quintile,1992,0.1,0.1,,,
all_households,highest_quintile,1993,0.1,0.1,,,
all_households,highest_quintile,1994,0.2,0.1,,,
all_households,highest_quintile,1995,0.2,0.1,,,
all_households,highest_quintile,1996,0.2,0.1,,,
all_households,highest_quintile,1997,0.1,0.1,,,
all_households,highest_quintile,1998,0.2,0.1,,,
all_households,highest_quintile,1999,0.2,0.1,,,
all_households,highest_quintile,2000,0.2,0.1,,,
all_households,highest_quintile,2001,0.2,0.1,,,
all_households,highest_quintile,2002,0.2,0.2,,,
all_households,highest_quintile,2003,0.2,0.2,,,
all_households,highest_quintile,2004,0.2,0.2,,,
all_households,highest_quintile,2005,0.2,0.2,,,
all_households,highest_quintile,2006,0.2,0.2,,,
all_households,highest_quintile,2007,0.2,0.2,,,
all_households,highest_quintile,2008,0.3,0.2,,,
all_households,highest_quintile,2009,0.3,0.2,,,
all_households,highest_quintile,2010,0.3,0.2,,,
all_households,highest_quintile,2011,0.3,0.2,,,
all_households,highest_quintile,2012,0.3,0.2,,,
all_households,highest_quintile,2013,0.3,0.2,,,
all_households,highest_quintile,2014,0.4,0.3,,,
all_households,percentiles_81_90,1979,0.2,0.1,,,0.1
all_households,percentiles_81_90,1980,0.1,,,,0.1
all_households,percentiles_81_90,1981,0.2,0.1,,0.1,
all_households,percentiles_81_90,1982,0.1,0.1,,,
all_households,percentiles_81_90,1983,0.1,,,,
all_households,percentiles_81_90,1984,0.1,,,,
all_households,percentiles_81_90,1985,0.1,,,,
all_households,percentiles_81_90,1986,0.1,,,,
all_households,percentiles_81_90,1987,0.1,,,,
all_households,percentiles_81_90,1988,0.1,0.1,,,
all_households,percentiles_81_90,1989,0.1,0.1,,,
all_households,percentiles_81_90,1990,0.2,0.1,,,
all_households,percentiles_81_90,1991,0.2,0.1,,0.1,0.1
all_households,percentiles_81_90,1992,0.2,0.1,,0.1,
all_households,percentiles_81_90,1993,0.3,0.2,,0.1,
all_households,percentiles_81_90,1994,0.3,0.2,,0.1,
all_households,percentiles_81_90,1995,0.3,0.2,,,
all_households,percentiles_81_90,1996,0.3,0.2,,0.1,
all_households,percentiles_81_90,1997,0.3,0.2,,0.1,
all_households,percentiles_81_90,1998,0.3,0.2,,0.1,
all_households,percentiles_81_90,1999,0.3,0.3,,0.1,
all_households,percentiles_81_90,2000,0.4,0.3,,,
all_households,percentiles_81_90,2001,0.3,0.3,,,
all_households,percentiles_81_90,2002,0.4,0.3,,0.1,
all_households,percentiles_81_90,2003,0.5,0.4,,0.1,
all_households,percentiles_81_90,2004,0.5,0.4,,0.1,
all_households,percentiles_81_90,2005,0.5,0.4,,0.1,
all_households,percentiles_81_90,2006,0.5,0.4,,0.1,
all_households,percentiles_81_90,2007,0.5,0.4,,0.1,
all_households,percentiles_81_90,2008,0.5,0.4,,0.1,
all_households,percentiles_81_90,2009,0.6,0.5,,0.1,
all_households,percentiles_81_90,2010,0.6,0.5,,0.1,0.1
all_households,percentiles_81_90,2011,0.5,0.4,,0.1,
all_households,percentiles_81_90,2012,0.6,0.5,,0.1,
all_households,percentiles_81_90,2013,0.5,0.5,,,
all_households,percentiles_81_90,2014,0.8,0.7,,,0.1
all_households,percentiles_91_95,1979,0.1,,,,
all_households,percentiles_91_95,1980,0.1,,,,
all_households,percentiles_91_95,1981,0.1,,,,
all_households,percentiles_91_95,1982,0.1,,,,
all_households,percentiles_91_95,1983,0.1,,,,
all_households,percentiles_91_95,1984,0.1,,,,
all_households,percentiles_91_95,1985,0.1,,,,
all_households,percentiles_91_95,1986,0.1,,,,
all_households,percentiles_91_95,1987,0.1,,,,
all_households,percentiles_91_95,1988,0.1,,,,
all_households,percentiles_91_95,1989,0.1,,,,
all_households,percentiles_91_95,1990,0.1,,,,
all_households,percentiles_91_95,1991,0.1,,,,
all_households,percentiles_91_95,1992,0.2,0.1,,,
all_households,percentiles_91_95,1993,0.2,0.1,,,
all_households,percentiles_91_95,1994,0.2,0.1,,,
all_households,percentiles_91_95,1995,0.2,0.1,,,
all_households,percentiles_91_95,1996,0.2,0.1,,,
all_households,percentiles_91_95,1997,0.2,0.1,,,
all_households,percentiles_91_95,1998,0.2,0.2,,,
all_households,percentiles_91_95,1999,0.2,0.2,,,
all_households,percentiles_91_95,2000,0.2,0.1,,,
all_households,percentiles_91_95,2001,0.2,0.2,,,
all_households,percentiles_91_95,2002,0.2,0.2,,,
all_households,percentiles_91_95,2003,0.3,0.2,,,
all_households,percentiles_91_95,2004,0.3,0.2,,,
all_households,percentiles_91_95,2005,0.3,0.3,,,
all_households,percentiles_91_95,2006,0.3,0.2,,,
all_households,percentiles_91_95,2007,0.3,0.3,,,
all_households,percentiles_91_95,2008,0.3,0.3,,,
all_households,percentiles_91_95,2009,0.3,0.3,,,
all_households,percentiles_91_95,2010,0.4,0.3,,,
all_households,percentiles_91_95,2011,0.3,0.2,,,
all_households,percentiles_91_95,2012,0.3,0.3,,,
all_households,percentiles_91_95,2013,0.4,0.3,,,
all_households,percentiles_91_95,2014,0.5,0.4,,,
all_households,percentiles_96_99,1979,0.1,,,,
all_households,percentiles_96_99,1980,0.1,,,,
all_households,percentiles_96_99,1981,0.1,,,,
all_households,percentiles_96_99,1982,,,,,
all_households,percentiles_96_99,1983,0.1,,,,
all_households,percentiles_96_99,1984,0.1,,,,
all_households,percentiles_96_99,1985,0.1,,,,
all_households,percentiles_96_99,1986,0.1,,,,
all_households,percentiles_96_99,1987,0.1,,,,
all_households,percentiles_96_99,1988,0.1,,,,
all_households,percentiles_96_99,1989,0.1,,,,
all_households,percentiles_96_99,1990,0.1,,,,
all_households,percentiles_96_99,1991,0.1,,,,
all_households,percentiles_96_99,1992,0.1,,,,
all_households,percentiles_96_99,1993,0.1,,,,
all_households,percentiles_96_99,1994,0.1,0.1,,,
all_households,percentiles_96_99,1995,0.1,0.1,,,
all_households,percentiles_96_99,1996,0.1,0.1,,,
all_households,percentiles_96_99,1997,0.1,0.1,,,
all_households,percentiles_96_99,1998,0.1,0.1,,,
all_households,percentiles_96_99,1999,0.1,0.1,,,
all_households,percentiles_96_99,2000,0.1,0.1,,,
all_households,percentiles_96_99,2001,0.1,0.1,,,
all_households,percentiles_96_99,2002,0.1,0.1,,,
all_households,percentiles_96_99,2003,0.2,0.1,,,
all_households,percentiles_96_99,2004,0.2,0.1,,,
all_households,percentiles_96_99,2005,0.2,0.1,,,
all_households,percentiles_96_99,2006,0.2,0.1,,,
all_households,percentiles_96_99,2007,0.2,0.1,,,
all_households,percentiles_96_99,2008,0.2,0.1,,,
all_households,percentiles_96_99,2009,0.2,0.2,,,
all_households,percentiles_96_99,2010,0.2,0.2,,,
all_households,percentiles_96_99,2011,0.2,0.1,,,
all_households,percentiles_96_99,2012,0.2,0.1,,,
all_households,percentiles_96_99,2013,0.2,0.2,,,
all_households,percentiles_96_99,2014,0.2,0.2,,,
all_households,top_1_percent,1979,,,,,
all_households,top_1_percent,1980,,,,,
all_households,top_1_percent,1981,,,,,
all_households,top_1_percent,1982,,,,,
all_households,top_1_percent,1983,,,,,
all_households,top_1_percent,1984,,,,,
all_households,top_1_percent,1985,,,,,
all_households,top_1_percent,1986,,,,,
all_households,top_1_percent,1987,,,,,
all_households,top_1_percent,1988,,,,,
all_households,top_1_percent,1989,,,,,
all_households,top_1_percent,1990,,,,,
all_households,top_1_percent,1991,,,,,
all_households,top_1_percent,1992,,,,,
all_households,top_1_percent,1993,,,,,
all_households,top_1_percent,1994,,,,,
all_households,top_1_percent,1995,,,,,
all_households,top_1_percent,1996,,,,,
all_households,top_1_percent,1997,,,,,
all_households,top_1_percent,1998,,,,,
all_households,top_1_percent,1999,,,,,
all_households,top_1_percent,2000,,,,,
all_households,top_1_percent,2001,,,,,
all_households,top_1_percent,2002,0.1,,,,
all_households,top_1_percent,2003,,,,,
all_households,top_1_percent,2004,,,,,
all_households,top_1_percent,2005,,,,,
all_households,top_1_percent,2006,,,,,
all_households,top_1_percent,2007,,,,,
all_households,top_1_percent,2008,,,,,
all_households,top_1_percent,2009,0.1,,,,
all_households,top_1_percent,2010,0.1,,,,
all_households,top_1_percent,2011,0.1,,,,
all_households,top_1_percent,2012,,,,,
all_households,top_1_percent,2013,0.1,,,,
all_households,top_1_percent,2014,0.1,0.1,,,
hh_with_children,all_quintiles,1979,3.1,0.9,0.6,0.2,1.5
hh_with_children,all_quintiles,1980,3.4,0.9,0.7,0.3,1.6
hh_with_children,all_quintiles,1981,3.5,0.9,0.8,0.2,1.5
hh_with_children,all_quintiles,1982,3.5,0.9,0.7,0.3,1.5
hh_with_children,all_quintiles,1983,3.5,0.9,0.8,0.2,1.5
hh_with_children,all_quintiles,1984,3.2,0.9,0.7,0.2,1.4
hh_with_children,all_quintiles,1985,3.3,0.9,0.6,0.3,1.5
hh_with_children,all_quintiles,1986,3.2,0.9,0.6,0.2,1.4
hh_with_children,all_quintiles,1987,3.4,1.1,0.6,0.3,1.4
hh_with_children,all_quintiles,1988,3.2,1.1,0.6,0.3,1.3
hh_with_children,all_quintiles,1989,3.2,1.2,0.6,0.2,1.3
hh_with_children,all_quintiles,1990,3.8,1.5,0.7,0.3,1.4
hh_with_children,all_quintiles,1991,4.3,1.7,0.8,0.3,1.5
hh_with_children,all_quintiles,1992,4.6,2.0,0.9,0.4,1.4
hh_with_children,all_quintiles,1993,4.9,2.1,0.9,0.5,1.5
hh_with_children,all_quintiles,1994,4.8,2.0,0.9,0.5,1.4
hh_with_children,all_quintiles,1995,4.5,2.0,0.8,0.5,1.2
hh_with_children,all_quintiles,1996,4.2,1.9,0.7,0.5,1.1
hh_with_children,all_quintiles,1997,3.6,1.8,0.6,0.4,0.8
hh_with_children,all_quintiles,1998,3.6,1.9,0.5,0.4,0.8
hh_with_children,all_quintiles,1999,3.3,1.9,0.4,0.4,0.6
hh_with_children,all_quintiles,2000,3.3,2.0,0.3,0.3,0.5
hh_with_children,all_quintiles,2001,3.7,2.4,0.4,0.4,0.6
hh_with_children,all_quintiles,2002,4.3,2.9,0.4,0.4,0.6
hh_with_children,all_quintiles,2003,4.5,3.1,0.5,0.4,0.6
hh_with_children,all_quintiles,2004,4.5,3.1,0.5,0.4,0.5
hh_with_children,all_quintiles,2005,4.4,3.0,0.5,0.3,0.5
hh_with_children,all_quintiles,2006,4.1,2.8,0.5,0.3,0.5
hh_with_children,all_quintiles,2007,4.2,2.8,0.5,0.3,0.5
hh_with_children,all_quintiles,2008,4.7,3.2,0.6,0.4,0.5
hh_with_children,all_quintiles,2009,5.8,3.8,1.0,0.4,0.6
hh_with_children,all_quintiles,2010,5.8,3.7,1.1,0.4,0.6
hh_with_children,all_quintiles,2011,5.8,3.7,1.1,0.4,0.7
hh_with_children,all_quintiles,2012,5.7,3.6,1.1,0.4,0.6
hh_with_children,all_quintiles,2013,5.9,3.8,1.1,0.4,0.6
hh_with_children,all_quintiles,2014,6.7,4.8,0.9,0.4,0.6
hh_with_children,lowest_quintile,1979,43.7,11.9,8.8,2.8,20.1
hh_with_children,lowest_quintile,1980,46.8,12.3,10.0,3.5,20.9
hh_with_children,lowest_quintile,1981,46.5,12.1,10.7,3.0,20.7
hh_with_children,lowest_quintile,1982,49.9,13.0,11.3,3.4,22.1
hh_with_children,lowest_quintile,1983,52.3,13.9,12.2,3.1,23.2
hh_with_children,lowest_quintile,1984,46.5,12.4,10.1,3.1,21.0
hh_with_children,lowest_quintile,1985,49.3,13.5,10.1,3.4,22.3
hh_with_children,lowest_quintile,1986,50.7,14.8,10.0,3.2,22.7
hh_with_children,lowest_quintile,1987,58.1,18.2,11.0,4.4,24.5
hh_with_children,lowest_quintile,1988,53.4,16.9,10.3,4.0,22.2
hh_with_children,lowest_quintile,1989,52.1,17.8,10.2,3.5,20.6
hh_with_children,lowest_quintile,1990,57.2,21.0,10.9,3.8,21.5
hh_with_children,lowest_quintile,1991,60.5,23.2,12.3,3.7,21.3
hh_with_children,lowest_quintile,1992,63.2,25.8,12.6,4.9,19.8
hh_with_children,lowest_quintile,1993,66.5,27.2,12.5,5.5,21.3
hh_with_children,lowest_quintile,1994,65.5,25.9,12.8,6.4,20.3
hh_with_children,lowest_quintile,1995,57.0,23.5,10.9,5.9,16.7
hh_with_children,lowest_quintile,1996,53.2,22.4,10.0,6.1,14.7
hh_with_children,lowest_quintile,1997,44.5,20.4,7.8,5.1,11.2
hh_with_children,lowest_quintile,1998,41.6,21.1,6.4,4.4,9.7
hh_with_children,lowest_quintile,1999,40.2,21.5,5.8,4.3,8.6
hh_with_children,lowest_quintile,2000,38.5,22.4,4.9,4.2,7.0
hh_with_children,lowest_quintile,2001,42.7,25.7,5.5,4.3,7.2
hh_with_children,lowest_quintile,2002,45.7,28.5,6.0,4.1,7.0
hh_with_children,lowest_quintile,2003,49.8,31.2,6.9,4.4,7.4
hh_with_children,lowest_quintile,2004,49.7,31.8,7.3,4.0,6.5
hh_with_children,lowest_quintile,2005,50.2,31.2,7.8,4.4,6.7
hh_with_children,lowest_quintile,2006,46.6,29.1,7.6,3.9,6.1
hh_with_children,lowest_quintile,2007,44.6,27.9,7.1,4.0,5.6
hh_with_children,lowest_quintile,2008,48.1,29.9,8.2,3.9,6.2
hh_with_children,lowest_quintile,2009,57.7,34.1,12.3,4.6,6.8
hh_with_children,lowest_quintile,2010,57.3,33.3,12.8,4.4,6.8
hh_with_children,lowest_quintile,2011,57.1,32.2,13.6,4.2,7.1
hh_with_children,lowest_quintile,2012,59.7,34.3,14.2,4.4,6.9
hh_with_children,lowest_quintile,2013,59.4,34.6,13.3,4.8,6.7
hh_with_children,lowest_quintile,2014,67.0,43.6,11.9,4.5,7.0
hh_with_children,second_quintile,1979,3.0,0.9,0.6,0.2,1.4
hh_with_children,second_quintile,1980,3.5,1.0,0.7,0.3,1.5
hh_with_children,second_quintile,1981,3.7,1.1,0.8,0.3,1.5
hh_with_children,second_quintile,1982,3.2,0.9,0.7,0.3,1.3
hh_with_children,second_quintile,1983,2.9,0.8,0.7,0.2,1.2
hh_with_children,second_quintile,1984,3.1,0.9,0.7,0.2,1.2
hh_with_children,second_quintile,1985,3.0,0.9,0.6,0.3,1.2
hh_with_children,second_quintile,1986,2.9,1.0,0.5,0.3,1.2
hh_with_children,second_quintile,1987,2.7,1.0,0.4,0.3,1.1
hh_with_children,second_quintile,1988,2.7,1.0,0.4,0.3,1.0
hh_with_children,second_quintile,1989,3.0,1.2,0.5,0.3,1.0
hh_with_children,second_quintile,1990,3.6,1.5,0.6,0.4,1.1
hh_with_children,second_quintile,1991,4.5,2.0,0.7,0.5,1.3
hh_with_children,second_quintile,1992,5.8,2.7,1.0,0.7,1.4
hh_with_children,second_quintile,1993,6.3,3.0,1.1,0.7,1.5
hh_with_children,second_quintile,1994,6.4,3.1,1.0,0.7,1.5
hh_with_children,second_quintile,1995,6.4,3.3,1.0,0.8,1.3
hh_with_children,second_quintile,1996,6.2,3.2,1.0,0.7,1.4
hh_with_children,second_quintile,1997,5.9,3.1,0.9,0.7,1.2
hh_with_children,second_quintile,1998,6.4,3.8,0.7,0.7,1.2
